date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:01	7401/7401	---M--	200	added ('OK')	application/javascript	etag:W/%227401-1648002943000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/js/cms-common.js?00817	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/_share/js/cms-commondc50.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:02	0/0	---M--	200	added ('OK')	application/javascript	etag:W/%220-1632873967000%22	https://aisw.kangwon.ac.kr/_res/knu/aisw/js/cms-common.js?73967	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/aisw/js/cms-common07aa.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:02	560/560	---M--	200	added ('OK')	application/javascript	etag:W/%22560-1634274943000%22	https://aisw.kangwon.ac.kr/_res/knu/aisw/js/main-content01.content.js?74943	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/aisw/js/main-content01.content7204.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:02	1843/1843	---M--	200	added ('OK')	application/javascript	etag:W/%221843-1644310987000%22	https://aisw.kangwon.ac.kr/_res/knu/aisw/js/header.content.js?10987	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/aisw/js/header.content0b7a.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:02	557/557	---M--	200	added ('OK')	application/javascript	etag:W/%22557-1629426038000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/js/main-visual-temp08.widget.js?26038	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/_share/js/main-visual-temp08.widget03b3.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:02	939/939	---M--	200	added ('OK')	application/javascript	etag:W/%22939-1624514022000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/js/footer-default.widget.js?14022	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/_share/js/footer-default.widget87c5.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:03	2790/2790	---M--	200	added ('OK')	application/javascript	etag:W/%222790-1647323169000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/js/gnb-mobile.widget.js?42876	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/_share/js/gnb-mobile.widget2fae.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:03	2289/2289	---M--	200	added ('OK')	image/png	etag:W/%222289-1607928315000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/img/common/img-logo.png	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/_share/img/common/img-logo.png	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:03	39478/39478	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Apr%202022%2007:08:02%20GMT	https://aisw.kangwon.ac.kr/aisw/intro/greetings.do	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/intro/greetings.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:03	41688/41688	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Apr%202022%2007:08:02%20GMT	https://aisw.kangwon.ac.kr/aisw/intro/history04.do	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/intro/history04.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:04	43255/43255	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Apr%202022%2007:08:02%20GMT	https://aisw.kangwon.ac.kr/aisw/intro/intro.do	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/intro/intro.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:04	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2002%20Apr%202022%2007:08:03%20GMT	https://aisw.kangwon.ac.kr/aisw/	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/index-2.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:04	41245/41245	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Apr%202022%2007:08:03%20GMT	https://aisw.kangwon.ac.kr/aisw/intro/lab.do	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/intro/lab.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:04	41712/41712	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Apr%202022%2007:08:03%20GMT	https://aisw.kangwon.ac.kr/aisw/intro/circle.do	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/intro/circle.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:04	38001/38001	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Apr%202022%2007:08:03%20GMT	https://aisw.kangwon.ac.kr/aisw/intro/council.do	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/intro/council.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:05	39187/39187	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Apr%202022%2007:08:03%20GMT	https://aisw.kangwon.ac.kr/aisw/intro/location.do	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/intro/location.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:05	68191/68191	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Apr%202022%2007:08:03%20GMT	https://aisw.kangwon.ac.kr/aisw/professor/professor.do	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/professor/professor.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:05	43881/43881	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Apr%202022%2007:08:04%20GMT	https://aisw.kangwon.ac.kr/aisw/professor/emeritus-professor.do	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/professor/emeritus-professor.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:05	48646/48646	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Apr%202022%2007:08:04%20GMT	https://aisw.kangwon.ac.kr/aisw/bachelor/curriculum.do	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/bachelor/curriculum.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:05	320653/320653	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Apr%202022%2007:08:04%20GMT	https://aisw.kangwon.ac.kr/aisw/bachelor/subject.do	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/bachelor/subject.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:06	38038/38038	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Apr%202022%2007:08:04%20GMT	https://aisw.kangwon.ac.kr/aisw/bachelor/info.do	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/bachelor/info.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:06	43518/43518	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Apr%202022%2007:08:05%20GMT	https://aisw.kangwon.ac.kr/aisw/bachelor/calendar.do	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/bachelor/calendar.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:06	36540/36540	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Apr%202022%2007:08:05%20GMT	https://aisw.kangwon.ac.kr/aisw/admission/admission-guide.do	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/admission/admission-guide.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:06	63142/63142	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Apr%202022%2007:08:05%20GMT	https://aisw.kangwon.ac.kr/aisw/community/notice.do	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/community/notice.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:06	47994/47994	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Apr%202022%2007:08:05%20GMT	https://aisw.kangwon.ac.kr/aisw/community/gallery.do	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/community/gallery.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:07	43200/43200	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Apr%202022%2007:08:05%20GMT	https://aisw.kangwon.ac.kr/aisw/community/reference-room.do	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/community/reference-room.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:07	38013/38013	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Apr%202022%2007:08:06%20GMT	https://aisw.kangwon.ac.kr/aisw/etc/login.do	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/etc/login.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:07	1032286/1032286	---M--	200	added ('OK')	image/jpeg	etag:W/%221032286-1631602397000%22	https://aisw.kangwon.ac.kr/_res/knu/aisw/img/main/1.jpg	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/aisw/img/main/1.jpg	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:07	558783/558783	---M--	200	added ('OK')	image/jpeg	etag:W/%22558783-1631602493000%22	https://aisw.kangwon.ac.kr/_res/knu/aisw/img/main/2.jpg	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/aisw/img/main/2.jpg	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:08	44664/44664	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Apr%202022%2007:08:06%20GMT	https://aisw.kangwon.ac.kr/aisw/community/notice.do?mode=view&articleNo=370792	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/community/notice31fa.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:08	41039/41039	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Apr%202022%2007:08:07%20GMT	https://aisw.kangwon.ac.kr/aisw/community/notice.do?mode=view&articleNo=370775	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/community/noticef589.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:08	41213/41213	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Apr%202022%2007:08:07%20GMT	https://aisw.kangwon.ac.kr/aisw/community/notice.do?mode=view&articleNo=370771	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/aisw/community/noticed13b.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:08	2553/2553	---M--	200	added ('OK')	image/png	etag:W/%222553-1608011218000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/img/common/img-footer-logo.png	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/_share/img/common/img-footer-logo.png	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:09	137228/137228	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222180c-9pHugMS50sWx8yT0tAFSsT1Io1c%22	https://cdn.jsdelivr.net/npm/xeicon@2.3.3/fonts/xeicon.eot?3ka2yj	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/cdn.jsdelivr.net/npm/xeicon@2.3.3/fonts/xeicon75d5.eot	(from https://cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css)
16:08:09	57300/57300	---M--	200	added ('OK')	font/woff2	etag:W/%22dfd4-2K21lCYL2tLwpQz2dMcFIZVyDkE%22	https://cdn.jsdelivr.net/npm/xeicon@2.3.3/fonts/xeicon.woff2?3ka2yj	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/cdn.jsdelivr.net/npm/xeicon@2.3.3/fonts/xeicon75d5.woff2	(from https://cdn.jsdelivr.net/npm/xeicon@2.3.3/xeicon.min.css)
